,STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10N,TD,Q,SQ,VV,N,U,P
0,330,20240101,1,210,120,120,180,75,,61,0,0,,,91,9951
1,330,20240101,2,210,90,100,150,74,,62,0,0,,,91,9958
2,330,20240101,3,240,100,110,160,92,,59,0,0,,,79,9959
3,330,20240101,4,240,110,110,190,91,,59,0,0,,,80,9966
4,330,20240101,5,240,100,100,150,95,,54,0,0,,,76,9973
5,330,20240101,6,250,120,120,170,92,71.0,48,0,0,,,73,9978
6,330,20240101,7,260,130,120,180,91,,48,0,0,,,74,9989
7,330,20240101,8,260,130,130,180,92,,46,0,0,,,73,10001
8,330,20240101,9,260,130,140,190,90,,48,3,0,,,74,10012
9,330,20240101,10,260,130,110,190,93,,49,19,0,,,74,10022
10,330,20240101,11,260,120,120,170,93,,47,48,7,,,73,10026
11,330,20240101,12,260,120,120,190,89,73.0,46,27,0,,,74,10032
12,330,20240101,13,260,120,120,160,90,,41,51,3,,,71,10035
13,330,20240101,14,250,110,110,160,91,,39,33,3,,,70,10040
14,330,20240101,15,250,100,80,160,86,,39,14,3,,,72,10044
15,330,20240101,16,250,80,80,120,86,,33,2,0,,,69,10047
16,330,20240101,17,240,70,70,110,83,,34,0,0,,,71,10047
17,330,20240101,18,210,60,80,110,77,72.0,53,0,0,,,84,10045
18,330,20240101,19,200,80,80,110,78,,43,0,0,,,78,10041
19,330,20240101,20,190,80,80,130,77,,41,0,0,,,78,10032
20,330,20240101,21,180,70,80,110,72,,47,0,0,,,84,10023
21,330,20240101,22,170,90,100,130,72,,59,0,0,,,91,10007
22,330,20240101,23,160,110,120,140,73,,63,0,0,,,93,9988
23,330,20240101,24,160,110,120,150,76,69.0,68,0,0,,,94,9967
24,330,20240102,1,160,130,130,180,79,,70,0,0,,,94,9943
25,330,20240102,2,170,130,130,170,81,,74,0,0,,,94,9919
26,330,20240102,3,180,120,110,160,85,,80,0,0,,,96,9902
27,330,20240102,4,200,110,110,150,97,,91,0,0,,,96,9896
28,330,20240102,5,240,110,130,180,111,,105,0,0,,,96,9898
29,330,20240102,6,240,130,120,180,114,74.0,102,0,0,,,92,9906
30,330,20240102,7,230,110,110,160,110,,100,0,0,,,93,9912
31,330,20240102,8,230,110,90,150,111,,97,0,0,,,91,9917
32,330,20240102,9,220,90,90,140,111,,101,6,0,,,93,9912
33,330,20240102,10,220,90,90,140,117,,100,17,0,,,89,9910
34,330,20240102,11,200,70,90,130,116,,107,8,0,,,93,9899
35,330,20240102,12,180,90,80,120,113,107.0,106,8,0,,,95,9884
36,330,20240102,13,180,90,100,130,109,,104,9,0,,,96,9862
37,330,20240102,14,190,100,100,140,115,,108,6,0,,,95,9848
38,330,20240102,15,180,100,120,150,115,,108,2,0,,,95,9826
39,330,20240102,16,190,130,130,170,116,,108,1,0,,,94,9815
40,330,20240102,17,220,140,160,240,124,,98,0,0,,,84,9806
41,330,20240102,18,220,170,170,270,117,108.0,78,0,0,,,77,9805
42,330,20240102,19,220,170,180,270,114,,78,0,0,,,78,9802
43,330,20240102,20,240,180,180,280,114,,78,0,0,,,78,9810
44,330,20240102,21,240,180,150,260,109,,78,0,0,,,80,9820
45,330,20240102,22,260,180,210,260,101,,70,0,0,,,80,9834
46,330,20240102,23,260,160,160,240,96,,82,0,0,,,90,9845
47,330,20240102,24,250,170,170,250,107,93.0,72,0,0,,,78,9858
48,330,20240103,1,250,160,150,240,108,,70,0,0,,,77,9867
49,330,20240103,2,250,150,140,220,106,,68,0,0,,,77,9875
50,330,20240103,3,240,130,130,200,107,,70,0,0,,,77,9878
51,330,20240103,4,240,120,110,170,105,,74,0,0,,,81,9879
52,330,20240103,5,230,110,100,170,103,,82,0,0,,,86,9881
53,330,20240103,6,220,120,120,160,99,97.0,82,0,0,,,88,9882
54,330,20240103,7,240,110,120,160,100,,78,0,0,,,86,9886
55,330,20240103,8,240,110,100,170,104,,77,0,0,,,83,9891
56,330,20240103,9,250,100,100,150,99,,80,5,0,,,87,9895
57,330,20240103,10,240,100,100,150,104,,76,21,0,,,82,9899
58,330,20240103,11,240,100,100,140,107,,73,36,2,,,79,9902
59,330,20240103,12,230,90,70,150,105,95.0,80,38,0,,,84,9899
